"COU","Pays","POL","Polluant","VAR","Variable","YEA","Année","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2000","2000","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,489528.649,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2001","2001","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,497352.025,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2002","2002","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,501000.843,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2003","2003","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,501128.976,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2004","2004","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,518408.438,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2005","2005","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,524811.845,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2006","2006","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,529240.641,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2007","2007","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,535807.552,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2008","2008","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,538590.714,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2009","2009","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,541475.792,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2010","2010","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,536893.738,,
"AUS","Australie","GHG","Gazs à effet de serre","TOTAL","Emissions totales exluant l'UTCF","2011","2011","T_CO2_EQVT","Tonnes d'équivalent CO2","3","Milliers",,,538663.878,,
