"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2000","2000","USD","Dollar des États-Unis","0","Unités",,,37962.624811,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2001","2001","USD","Dollar des États-Unis","0","Unités",,,38975.040701,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2002","2002","USD","Dollar des États-Unis","0","Unités",,,39733.167292,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2003","2003","USD","Dollar des États-Unis","0","Unités",,,40935.075276,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2004","2004","USD","Dollar des États-Unis","0","Unités",,,41776.958766,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2005","2005","USD","Dollar des États-Unis","0","Unités",,,42402.64145,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2006","2006","USD","Dollar des États-Unis","0","Unités",,,43414.579629,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2007","2007","USD","Dollar des États-Unis","0","Unités",,,44150.704978,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2008","2008","USD","Dollar des États-Unis","0","Unités",,,44084.170086,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2009","2009","USD","Dollar des États-Unis","0","Unités",,,44137.777583,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2010","2010","USD","Dollar des États-Unis","0","Unités",,,44495.643207,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2011","2011","USD","Dollar des États-Unis","0","Unités",,,45594.057296,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2012","2012","USD","Dollar des États-Unis","0","Unités",,,45960.265247,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2013","2013","USD","Dollar des États-Unis","0","Unités",,,46341.214064,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2014","2014","USD","Dollar des États-Unis","0","Unités",,,46637.881597,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2015","2015","USD","Dollar des États-Unis","0","Unités",,,47226.759741,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2016","2016","USD","Dollar des États-Unis","0","Unités",,,47555.95815,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2017","2017","USD","Dollar des États-Unis","0","Unités",,,48109.641816,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2018","2018","USD","Dollar des États-Unis","0","Unités",,,48405.056099,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2019","2019","USD","Dollar des États-Unis","0","Unités",,,47649.922691,,
"AUS","Australie","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2020","2020","USD","Dollar des États-Unis","0","Unités",,,48094.334087,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2000","2000","USD","Dollar des États-Unis","0","Unités",,,43826.217496,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2001","2001","USD","Dollar des États-Unis","0","Unités",,,44212.001726,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2002","2002","USD","Dollar des États-Unis","0","Unités",,,44720.715515,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2003","2003","USD","Dollar des États-Unis","0","Unités",,,44940.879463,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2004","2004","USD","Dollar des États-Unis","0","Unités",,,45880.729416,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2005","2005","USD","Dollar des États-Unis","0","Unités",,,46591.873977,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2006","2006","USD","Dollar des États-Unis","0","Unités",,,47952.415642,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2007","2007","USD","Dollar des États-Unis","0","Unités",,,49576.458113,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2008","2008","USD","Dollar des États-Unis","0","Unités",,,50141.196925,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2009","2009","USD","Dollar des États-Unis","0","Unités",,,48138.232374,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2010","2010","USD","Dollar des États-Unis","0","Unités",,,48907.740266,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2011","2011","USD","Dollar des États-Unis","0","Unités",,,50172.404737,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2012","2012","USD","Dollar des États-Unis","0","Unités",,,50287.336178,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2013","2013","USD","Dollar des États-Unis","0","Unités",,,49998.030843,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2014","2014","USD","Dollar des États-Unis","0","Unités",,,49935.741179,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2015","2015","USD","Dollar des États-Unis","0","Unités",,,49942.05633,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2016","2016","USD","Dollar des États-Unis","0","Unités",,,50292.869087,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2017","2017","USD","Dollar des États-Unis","0","Unités",,,51105.598782,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2018","2018","USD","Dollar des États-Unis","0","Unités",,,52092.588383,,
"AUT","Autriche","T_GDPPOP","PIB par tête","VPVOB","USD, prix constants, PPA de 2015","2019","2019","USD","Dollar des États-Unis","0","Unités",,,52645.177089,,
