"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2000","2000","USD","Dollar des États-Unis","6","Millions",,,722383.195,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2001","2001","USD","Dollar des États-Unis","6","Millions",,,751232.217,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2002","2002","USD","Dollar des États-Unis","6","Millions",,,774606.043,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2003","2003","USD","Dollar des États-Unis","6","Millions",,,807268.339,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2004","2004","USD","Dollar des États-Unis","6","Millions",,,832727.586,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2005","2005","USD","Dollar des États-Unis","6","Millions",,,855549.616,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2006","2006","USD","Dollar des États-Unis","6","Millions",,,887871.568,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2007","2007","USD","Dollar des États-Unis","6","Millions",,,919553.223,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2008","2008","USD","Dollar des États-Unis","6","Millions",,,936753.347,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2009","2009","USD","Dollar des États-Unis","6","Millions",,,957423.43,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2010","2010","USD","Dollar des États-Unis","6","Millions",,,980319.112,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2011","2011","USD","Dollar des États-Unis","6","Millions",,,1018571.24,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2012","2012","USD","Dollar des États-Unis","6","Millions",,,1044837.69,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2013","2013","USD","Dollar des États-Unis","6","Millions",,,1071784.233,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2014","2014","USD","Dollar des États-Unis","6","Millions",,,1094856.917,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2015","2015","USD","Dollar des États-Unis","6","Millions",,,1124752.51,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2016","2016","USD","Dollar des États-Unis","6","Millions",,,1150421.428,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2017","2017","USD","Dollar des États-Unis","6","Millions",,,1183588.597,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2018","2018","USD","Dollar des États-Unis","6","Millions",,,1209288.995,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2019","2019","USD","Dollar des États-Unis","6","Millions",,,1208673.644,,
"AUS","Australie","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2020","2020","USD","Dollar des États-Unis","6","Millions",,,1235702.154,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2000","2000","USD","Dollar des États-Unis","6","Millions",,,351116.634,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2001","2001","USD","Dollar des États-Unis","6","Millions",,,355565.872,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2002","2002","USD","Dollar des États-Unis","6","Millions",,,361438.234,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2003","2003","USD","Dollar des États-Unis","6","Millions",,,364841.07,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2004","2004","USD","Dollar des États-Unis","6","Millions",,,374819.912,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2005","2005","USD","Dollar des États-Unis","6","Millions",,,383231.116,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2006","2006","USD","Dollar des États-Unis","6","Millions",,,396468.079,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2007","2007","USD","Dollar des États-Unis","6","Millions",,,411246.09,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2008","2008","USD","Dollar des États-Unis","6","Millions",,,417252.026,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2009","2009","USD","Dollar des États-Unis","6","Millions",,,401544.247,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2010","2010","USD","Dollar des États-Unis","6","Millions",,,408920.991,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2011","2011","USD","Dollar des États-Unis","6","Millions",,,420872.923,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2012","2012","USD","Dollar des États-Unis","6","Millions",,,423736.734,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2013","2013","USD","Dollar des États-Unis","6","Millions",,,423844.807,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2014","2014","USD","Dollar des États-Unis","6","Millions",,,426647.577,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2015","2015","USD","Dollar des États-Unis","6","Millions",,,430975.924,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2016","2016","USD","Dollar des États-Unis","6","Millions",,,439549.919,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2017","2017","USD","Dollar des États-Unis","6","Millions",,,449477.472,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2018","2018","USD","Dollar des États-Unis","6","Millions",,,460379.033,,
"AUT","Autriche","T_GDP","Produit Intérieur Brut (PIB); en millions","VPVOB","USD, prix constants, PPA de 2015","2019","2019","USD","Dollar des États-Unis","6","Millions",,,467364.772,,
